name,abbreviation,description,source,#total_events,#events,#traces,min_trace,max_trace,avg_trace,l_detail,lz_compl,unique_t,struc,avg_aff,dev_rand,#ties,var_ent,nvar_ent,seq_ent,nseq_ent,time,best,type
Data-driven Process Discovery - Artificial Event Log (Round 3 Seed 7),PD_3_7,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,448,8,64,7,7,7.0,7.0,169,100.0,0.15625,0.0724498385212661,0.9153745999517088,448,1502.2700068626225,0.7043733458479359,1817.651214137208,0.664601898860448,0.0452604293823242,LSTM_PREPAD_FREQBASED,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 3 Seed 10),PD_3_10,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,512,8,64,8,8,8.0,8.0,100,3.125,0.84375,0.6955357142857143,0.6891145022205252,16,6.445,0.244,251.421,0.079,0.0069220066070556,LSTM_PREPAD_EMBEDDED,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 1),PD_4_1,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,985,16,256,3,5,3.84765625,3.84765625,376,27.734375,0.85546875,0.1393078898225911,0.7917251891429007,348,942.717,0.778,2948.229,0.434,0.1161649227142334,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 2),PD_4_2,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,4421,16,256,12,49,17.26953125,13.61328125,1226,17.96875,0.921875,0.6939688675715409,0.8022989674283105,1213,2549.031,0.556,12837.871,0.346,0.1063292026519775,CNN_CONT_ONEHOT,CNN
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 3),PD_4_3,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,3957,16,256,12,42,15.45703125,12.52734375,1251,100.0,0.2421875,0.1076672730595987,0.8883978985480775,3957,17752.05,0.677,21151.885,0.645,1.573430061340332,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 4),PD_4_4,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,3302,16,256,2,108,12.8984375,7.90625,986,53.515625,0.74609375,0.1768438033961108,0.8586582930662665,3008,10427.151,0.594,14694.084,0.549,0.4927458763122558,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 5),PD_4_5,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,1040,16,256,2,21,4.0625,3.453125,355,4.6875,0.9375,0.1784182422969188,0.744187850583178,83,139.771,0.454,2230.61,0.309,0.0895428657531738,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 6),PD_4_6,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,2692,16,256,7,34,10.515625,7.91796875,660,70.3125,0.8828125,0.2553443915028944,0.7340877447290248,2115,6758.873,0.682,12682.407,0.596,0.8145849704742432,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 7),PD_4_7,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,3584,16,256,14,14,14.0,14.0,1227,100.0,0.12890625,0.0422097253257882,0.95756513595214,3584,17471.70481708362,0.6880829654501136,19619.2227443913,0.6688607597469495,1.1447749137878418,CNN_PREPAD_FREQBASED,CNN
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 8),PD_4_8,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,5536,16,256,7,127,21.625,10.71875,1600,66.796875,0.72265625,0.1969437849141523,0.8760078509327988,4941,21082.37963117339,0.574347339659174,26957.50013754993,0.5649698452997964,0.6350259780883789,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 4 Seed 10),PD_4_10,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,3930,16,256,12,33,15.3515625,12.515625,488,16.40625,0.92578125,0.6485073281527919,0.7753314573240518,804,1118.683,0.624,10729.609,0.33,0.1326210498809814,DT_PREPAD_FREQBASED,DT
Data-driven Process Discovery - Artificial Event Log (Round 5 Seed 1),PD_5_1,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,3951,32,1024,1,41,3.8583984375,3.4384765625,1515,33.49609375,0.873046875,0.070289847776761,0.8762161169111352,2454,8967.812,0.761,19437.572,0.594,6.375380992889404,CNN_PREPAD_FREQBASED,DT
Data-driven Process Discovery - Artificial Event Log (Round 5 Seed 3),PD_5_3,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,30092,32,1024,20,78,29.38671875,22.8837890625,9541,100.0,0.1826171875,0.0411433844999299,0.9488610754284106,30092,192934.06216458452,0.6726659176475555,206024.42710483263,0.6639328258017025,44.47579002380371,LSTM_PREPAD_ONEHOT,LSTM
Data-driven Process Discovery - Artificial Event Log (Round 5 Seed 2),PD_5_2,-,10.4121/uuid:32cad43f-8bb9-46af-8333-48aae2bea037,18561,32,1024,11,50,18.1259765625,14.9345703125,5068,99.8046875,0.86328125,0.1566118584282841,0.8557586483333919,18534,87146.303,0.723,121197.645,0.664,59.97987985610962,CNN_PREPAD_ONEHOT,CNN
L1_pll,L1_pll,-,-,270,8,54,5,5,5.0,5.0,75,3.7037037037037033,0.875,0.490566037735849,0.6692810861169262,10,6.182654189375911,0.3126496871021503,181.71315009249943,0.1202145304405863,0.0218150615692138,DT_CONT_ONEHOT,DT
L1_lin,L1_lin,-,-,270,9,54,5,5,5.0,5.0,72,11.11111111111111,0.8518518518518519,0.2964959568733153,0.7086642088416243,30,32.987711143263866,0.589652336358211,411.3535167470617,0.2721358901964963,0.004422903060913,DT_CONT_FREQBASED,DT
