L4,F1,0.76194;0.00503,0.76194;0.00503,0.57457;0.16531,0.76419;0.0,0.76194;0.00503,0.69622;0.08194,0.6949;0.14898,0.42293;0.25738,0.67222;0.14911,0.57801;0.16356,0.49812;0.22369,0.62336;0.1849,0.69362;0.03377,0.70929;0.01358,0.69904;0.0261,0.68792;0.02797,0.68549;0.03983,0.69647;0.028
L5,Accuracy,0.73958;0.08398,0.70833;0.10623,0.19792;0.14168,0.77083;0.04658,0.75;0.0625,0.17708;0.16305,0.57292;0.02329,0.5;0.13975,0.55208;0.0561,0.51042;0.17462,0.45833;0.2185,0.5625;0.0,0.73939;0.11447,0.74394;0.1392,0.75909;0.08857,0.61364;0.07437,0.61061;0.12031,0.5803;0.09307
L5,Precision,0.70133;0.05776,0.65172;0.12927,0.19599;0.2398,0.66181;0.02497,0.6278;0.09829,0.1443;0.19738,0.35014;0.06645,0.27376;0.09536,0.39062;0.11254,0.30631;0.13884,0.2617;0.17681,0.31641;0.0,0.70795;0.15908,0.76465;0.17105,0.73965;0.14278,0.64066;0.064,0.6149;0.15305,0.66881;0.10332
L5,Recall,0.73958;0.08398,0.70833;0.10623,0.19792;0.14168,0.77083;0.04658,0.75;0.0625,0.17708;0.16305,0.57292;0.02329,0.5;0.13975,0.55208;0.0561,0.51042;0.17462,0.45833;0.2185,0.5625;0.0,0.73939;0.11447,0.74394;0.1392,0.75909;0.08857,0.61364;0.07437,0.61061;0.12031,0.5803;0.09307
L5,F1,0.69066;0.06395,0.6476;0.10205,0.13322;0.15497,0.70152;0.03964,0.66991;0.08322,0.13717;0.1819,0.4325;0.0543,0.35208;0.11833,0.42948;0.04788,0.37779;0.16243,0.32443;0.20611,0.405;0.0,0.70124;0.12803,0.73229;0.1546,0.72131;0.11094,0.59131;0.06528,0.58361;0.1328,0.58392;0.08842
L6,Accuracy,0.54762;0.15246,0.52381;0.15793,0.30952;0.22462,0.57143;0.16496,0.2619;0.22462,0.42857;0.16496,0.09524;0.06734,0.14286;0.0,0.14286;0.0,0.11905;0.09817,0.14286;0.0,0.14286;0.14286,0.725;0.17736,0.81667;0.20344,0.775;0.11815,0.775;0.24791,0.76667;0.25111,0.775;0.11815
L6,Precision,0.45726;0.28234,0.43503;0.28498,0.31156;0.25936,0.47477;0.29129,0.15726;0.1914,0.34269;0.26128,0.02211;0.02387,0.02098;0.00127,0.05522;0.04308,0.02381;0.02742,0.02041;0.0,0.07704;0.14164,0.7125;0.15121,0.76667;0.24944,0.67639;0.18184,0.75833;0.27449,0.75;0.25166,0.67639;0.18184
L6,Recall,0.54762;0.15246,0.52381;0.15793,0.30952;0.22462,0.57143;0.16496,0.2619;0.22462,0.42857;0.16496,0.09524;0.06734,0.14286;0.0,0.14286;0.0,0.11905;0.09817,0.14286;0.0,0.14286;0.14286,0.725;0.17736,0.81667;0.20344,0.775;0.11815,0.775;0.24791,0.76667;0.25111,0.775;0.11815
L6,F1,0.46865;0.2182,0.43016;0.21871,0.26054;0.20634,0.48107;0.22919,0.17857;0.18385,0.34822;0.22561,0.03373;0.03181,0.03656;0.0019,0.07143;0.03827,0.03902;0.04246,0.03571;0.0,0.07698;0.12028,0.70278;0.15647,0.78333;0.23234,0.71111;0.1586,0.76389;0.26535,0.75556;0.25086,0.71111;0.1586
L6,Time,9.72255;2.98259,7.81694;0.63065,7.85833;2.12191,8.10085;1.74037,7.63993;1.28205,7.5233;0.92715,5.19497;1.7629,4.65872;1.48077,3.79358;0.44235,4.50956;1.49957,4.44881;1.16511,3.47517;0.2699,0.00552;0.01008,0.00154;0.00042,0.00095;7e-05,0.00108;9e-05,0.00102;0.0001,0.00103;0.00019
L7,Accuracy,0.25;0.0,0.41667;0.2357,0.25;0.0,0.25;0.0,0.33333;0.11785,0.25;0.0,0.25;0.0,0.25;0.0,0.33333;0.18634,0.25;0.0,0.41667;0.2357,0.25;0.0,0.41667;0.35681,0.44444;0.22906,0.47222;0.11453,0.47222;0.22395,0.47222;0.22395,0.33333;0.25459
L7,Precision,0.0625;0.0,0.22917;0.2357,0.0625;0.0,0.0625;0.0,0.31944;0.36337,0.0625;0.0,0.0625;0.0,0.0625;0.0,0.14583;0.18634,0.0625;0.0,0.22917;0.2357,0.0625;0.0,0.51852;0.41409,0.44907;0.3177,0.50463;0.27518,0.48148;0.28986,0.43519;0.32421,0.43056;0.37397
L7,Recall,0.25;0.0,0.41667;0.2357,0.25;0.0,0.25;0.0,0.33333;0.11785,0.25;0.0,0.25;0.0,0.25;0.0,0.33333;0.18634,0.25;0.0,0.41667;0.2357,0.25;0.0,0.41667;0.35681,0.44444;0.22906,0.47222;0.11453,0.47222;0.22395,0.47222;0.22395,0.33333;0.25459
L7,F1,0.1;0.0,0.28095;0.25591,0.1;0.0,0.1;0.0,0.23333;0.18856,0.1;0.0,0.1;0.0,0.1;0.0,0.19048;0.20231,0.1;0.0,0.28095;0.25591,0.1;0.0,0.44074;0.35611,0.42222;0.23307,0.45;0.14254,0.45556;0.2114,0.42222;0.23307,0.35185;0.2753
L7,Time,6.91939;0.85168,7.72125;1.02877,8.41122;1.85805,8.2047;1.7763,7.5593;0.62182,7.7984;0.92426,4.48859;0.71167,4.64687;0.99173,4.9761;0.73467,6.3344;1.471,5.7631;0.95004,5.47784;0.97781,0.00085;0.00011,0.00088;0.00012,0.00089;0.00013,0.00081;7e-05,0.00079;6e-05,0.00091;0.00023
Nasa_log,Accuracy,0.75011;0.00334,0.74669;0.00208,0.62838;0.01569,0.72492;0.00137,0.72343;0.00354,0.60205;0.00999,0.74583;0.0011,0.73868;0.00225,0.71522;0.00526,0.72734;0.00234,0.72194;0.00208,0.63071;0.00233,0.68641;0.00652,0.67977;0.003,0.65867;0.00432,0.65849;0.00592,0.65758;0.00586,0.54678;0.00232
Nasa_log,Precision,0.77159;0.01171,0.76306;0.00412,0.63099;0.02082,0.75977;0.01041,0.74922;0.01517,0.59996;0.01201,0.77461;0.01023,0.75329;0.00886,0.73545;0.00566,0.76931;0.00377,0.75145;0.01522,0.66049;0.00771,0.82548;0.00839,0.81438;0.0029,0.80359;0.00844,0.84942;0.00618,0.84873;0.00326,0.74308;0.00814
Nasa_log,Recall,0.75011;0.00334,0.74669;0.00208,0.62838;0.01569,0.72492;0.00137,0.72343;0.00354,0.60205;0.00999,0.74583;0.0011,0.73868;0.00225,0.71522;0.00526,0.72734;0.00234,0.72194;0.00208,0.63071;0.00233,0.68641;0.00652,0.67977;0.003,0.65867;0.00432,0.65849;0.00592,0.65758;0.00586,0.54678;0.00232
