name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
PD_4_1,Recall,77.74,66.44,6.51,71.8,71.58,7.31,12.9,7.88,6.85,19.63,7.88,6.85,69.64,68.77,0.0,66.9,66.55,0.0
PD_4_1,F1,76.07,63.77,0.8,70.61,70.24,1.0,5.61,1.77,0.88,13.75,1.35,0.88,72.34,70.79,0.0,68.93,68.47,0.0
PD_4_1,Time,12,13,14,11,13,13,5,5,85,7,4,69,0,0,0,0,0,0
Pdc_2021_0,Accuracy,79.59,78.16,64.61,79.23,77.84,74.24,79.43,72.57,72.53,79.23,42.28,79.34,75.67,75.17,75.38,73.38,73.57,73.63
Pdc_2021_0,Precision,74.65,73.2,59.02,73.97,71.97,67.32,75.82,67.97,68.86,73.79,36.4,74.15,76.5,75.55,75.94,73.26,72.97,73.35
Pdc_2021_0,Recall,79.59,78.16,64.61,79.23,77.84,74.24,79.43,72.57,72.53,79.23,42.28,79.34,75.67,75.17,75.38,73.38,73.57,73.63
Pdc_2021_0,F1,75.43,74.13,58.87,74.85,73.16,68.7,75.86,68.05,68.56,74.8,36.29,75.03,75.26,74.75,75.02,72.35,72.33,72.48
Pdc_2021_1,Accuracy,77.89,75.74,71.24,77.56,75.36,73.15,77.78,76.33,77.7,77.29,45.05,77.42,72.84,72.58,72.44,70.61,70.71,70.59
Pdc_2021_1,Precision,75.09,72.18,67.81,74.69,70.52,67.22,76.89,74.37,77.55,73.18,38.73,77.04,76.41,76.22,76.35,73.74,73.84,74.91
Pdc_2021_1,Recall,77.89,75.74,71.24,77.56,75.36,73.15,77.78,76.33,77.7,77.29,45.05,77.42,72.84,72.58,72.44,70.61,70.71,70.59
Pdc_2021_1,F1,73.99,71.47,65.99,73.35,70.9,68.21,74.29,72.76,74.3,73.1,38.12,73.49,72.79,72.66,72.46,70.42,70.5,70.33
Pdc_2021_1,Time,216,430,617,36,70,542,340,595,522,149,127,645,1,10,0,0,2,0
PD_4_2,Accuracy,85.45,89.32,73.09,90.02,86.5,83.93,90.04,85.29,87.72,90.28,88.02,89.98,86.59,86.7,86.38,86.44,86.44,88.48
PD_4_2,Precision,88.35,89.11,72.2,89.61,84.46,79.45,90.23,85.73,88.85,90.52,86.9,87.0,93.58,94.52,93.97,94.0,94.0,88.61
PD_4_2,Recall,85.45,89.32,73.09,90.02,86.5,83.93,90.04,85.29,87.72,90.28,88.02,89.98,86.59,86.7,86.38,86.44,86.44,88.48
PD_4_2,F1,83.96,88.05,70.12,88.8,84.27,80.66,88.94,83.82,86.46,89.11,86.49,88.0,88.86,89.03,88.82,88.87,88.84,88.53
PD_4_2,Time,119,161,57,23,22,58,138,171,107,49,59,96,0,0,0,0,0,0
PD_4_3,Accuracy,47.82,46.54,39.7,46.33,42.47,35.34,40.78,26.54,47.8,43.39,32.61,40.1,29.32,27.57,30.14,25.88,25.54,21.12
PD_4_3,Precision,41.85,41.84,35.39,40.09,36.07,30.68,40.53,20.71,47.29,37.65,30.69,37.78,34.32,33.49,45.81,39.12,38.93,41.11
PD_4_3,Recall,47.82,46.54,39.7,46.33,42.47,35.34,40.78,26.54,47.8,43.39,32.61,40.1,29.32,27.57,30.14,25.88,25.54,21.12
PD_4_3,F1,41.64,41.19,34.56,40.17,36.54,30.38,37.34,18.62,42.34,38.45,26.18,35.01,31.09,29.78,35.32,29.95,29.69,26.69
